urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.bristol.nl/nld/shoe-discounttent-veelkleurig-10164826-99.html,Tent Bristol,,31.99,20%,,,,,,,,
https://www.bristol.nl/nld/091000-nos-tent-derby-multicolor-0-10226270-99.html,,,,,,,,,,,,
https://www.bristol.nl/nld/091000-pop-up-tent-multicolor-0-10226259-99.html,Tent Bristol,,35.99,20%,,,,,,,,
https://www.bristol.nl/nld/10164827-99-10164827-99.html,Tent Bristol,,39.99,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discounttent-veelkleurig-10164828-99.html,Tent Bristol,,47.99,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discounttent-veelkleurig-10164825-99.html,Tent Bristol,,55.99,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discounttent-veelkleurig-10164825-99.html,Tent Bristol,,55.99,20%,,,,,,,,
https://www.bristol.nl/nld/10015170-99-10015170-99.html,Luchtmatras Bristol,,11.19,20%,,,,,,,,
https://www.bristol.nl/nld/10017052-99-10017052-99.html,Luchtmatras Bristol,,14.39,20%,,,,,,,,
https://www.bristol.nl/nld/10162760-99-10162760-99.html,Luchtmatras Bristol,,47.99,20%,,,,,,,,
https://www.bristol.nl/nld/10150296-99-10150296-99.html,Luchtmatras Bristol,,31.99,20%,,,,,,,,
https://www.bristol.nl/nld/091004-nos-voetpomp-5-liter-black-0-10219921-00.html,Campingaccessoires Bristol,,5.59,20%,,,,,,,,
https://www.bristol.nl/nld/10153032-99-10153032-99.html,Handpomp Bristol,,7.99,20%,,,,,,,,
https://www.bristol.nl/nld/10171053-90-10171053-90.html,Elektrische pomp,,14.39,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discountslaapzak-blauw-10164822-50.html,Slaapzak Bristol,,14.39,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discountslaapzak-groen-10164822-70.html,Slaapzak Bristol,,14.39,20%,,,,,,,,
https://www.bristol.nl/nld/10164820-20-10164820-20.html,Slaapzak Bristol,,15.99,20%,,,,,,,,
https://www.bristol.nl/nld/10164820-50-10164820-50.html,Slaapzak Bristol,,15.99,20%,,,,,,,,
https://www.bristol.nl/nld/10164824-20-10164824-20.html,,,,,,,,,,,,
https://www.bristol.nl/nld/091002-zelfopblaasbaar-matje-blue-0-10226738-50.html,Slaapmatje Bristol,,23.99,20%,,,,,,,,
https://www.bristol.nl/nld/10136057-99-10136057-99.html,Campingaccessoires Bristol,,7.19,20%,,,,,,,,
https://www.bristol.nl/nld/10136057-50-10136057-50.html,Campingaccessoires Bristol,,7.19,20%,,,,,,,,
https://www.bristol.nl/nld/10136057-20-10136057-20.html,,,,,,,,,,,,
https://www.bristol.nl/nld/shoe-discountluchtmatras-geel-10164838-80.html,Luchtmatras Bristol,,3.19,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discountmatelas-gonflable-rose-10164832-63.html,Luchtmatras Bristol,,5.59,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discountluchtmatras-veelkleurig-10164834-99.html,Zwembad Bristol,,6.39,20%,,,,,,,,
https://www.bristol.nl/nld/shoe-discountluchtmatras-veelkleurig-10213552-99.html,Filter Bristol,,3.99,20%,,,,,,,,
https://www.bristol.nl/nld/10164839-99-10164839-99.html,,,,,,,,,,,,
https://www.bristol.nl/nld/10164830-99-10164830-99.html,,,,,,,,,,,,
https://www.bristol.nl/nld/shoe-discountluchtmatras-veelkleurig-10164840-99.html,Zwembad Bristol,,19.99,20%,,,,,,,,
https://www.bristol.nl/nld/451000-36-41-rubber-wom-dark-grey-41-10225949-21.html,Regenlaars Bristol,,19.99,20%,,,,,,,,
https://www.bristol.nl/nld/451000-36-41-rubber-women-h-black-41-10225976-00.html,Regenlaars Bristol,,19.99,20%,,,,,,,,
https://www.bristol.nl/nld/451001-36-41-rubber-women-l-brown-41-10225978-10.html,,,,,,,,,,,,
https://www.bristol.nl/nld/489999-31-38-rubber-unise-fuchsia-38-10225908-00.html,Clog Bristol,,9.99,,,,,,,,,
https://www.bristol.nl/nld/189999-footwear-unisex-othe-black-40-10225607-00.html,,,,,,,,,,,,
https://www.bristol.nl/nld/189999-28-46-footw-unisex-othe-pink-41-10225532-00.html,Schoen Panther,,9.99,,,,,,,,,
