urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.hendersandhazel.nl/gratis-schor,,,,,,,,,,,,
https://www.hendersandhazel.nl/dressoirs/artikel/multiplus-dressoir-2-deuren-2-laden-210-cm/33691001,"Multiplus, Dressoir 2-deuren + 2-laden - 210 Cm",H&H,1049,,Kasten ,,,,,,,
https://www.hendersandhazel.nl/eetkamerstoelen/artikel/levi-eetkamerstoel-rvs-spin-frame-catania-leder/29783ant,"Levi, Eetkamerstoel - Rvs Spin Frame - Catania Leder",H&H,219,8%,Stoelen ,,,,,,,
https://www.hendersandhazel.nl/gratis-schor,,,,,,,,,,,,
https://www.hendersandhazel.nl/woonprogrammas/multiplus/10663,,,,,,,,,,,,
https://www.hendersandhazel.nl/salontafels/artikel/multiplus-salontafel-80-x-70-cm-3-lagen-4-niches/33700001,"Multiplus, Salontafel 80 X 70 Cm 3-lagen + 4-niches",H&H,549,,Tafels ,,,,,,,
https://www.hendersandhazel.nl/boekenkasten/artikel/multiplus-boekenkast-1-lade-7-niches-80-cm/33701001,"Multiplus, Boekenkast 1-lade + 7-niches - 80 Cm",H&H,649,,Kasten ,,,,,,,
https://www.hendersandhazel.nl/dressoirs/artikel/multiplus-lowboard-2-deuren-2-niches-170-cm/33696001,"Multiplus, Lowboard 2-deuren + 2-niches - 170 Cm",H&H,579,11%,Kasten ,,,,,,,
https://www.hendersandhazel.nl/fauteuils/artikel/angelica-bijzetfauteuil-rvs/04418001,"Angelica, Bijzetfauteuil Rvs",H&H,349,,Stoelen ,,,,,,,
https://www.hendersandhazel.nl/woonprogrammas/multiplus/10663,,,,,,,,,,,,
https://www.hendersandhazel.nl/bankstellen/artikel/bankstel-valras/composition-27148,,,,,,,,,,,,
https://www.hendersandhazel.nl/fauteuils/artikel/roskilde-fauteuil/26182001,"Roskilde, Fauteuil",H&H,499,,Stoelen ,,,,,,,
https://www.hendersandhazel.nl/kasten/artikel/multiplus-highboard-smal-4-deuren-3-niches-led-/33697001,"Multiplus, Highboard Smal 4-deuren + 3-niches (+ Led)",H&H,1099,,Kasten,,,,,,,
