urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.toychamp.nl/promotie/2017001033,,,,,,,,,,,,
https://www.toychamp.nl/product/01158410-01158410,Minions aluminium step 120mm wielen ABEC5 lagers,Mondo,24.99,17%,Berijdbaar,,,,,,,
https://www.toychamp.nl/product/01074185-01074185,Super Soaker Flashflood,NERF,24.99,17%,Waterpret,,,,,,,
https://www.toychamp.nl/product/01228250-01228250,Delta schommelset voor 4 kinderen,,119.99,20%,Schommels,,,,,,,
https://www.toychamp.nl/product/00939140-00939140,Little Tikes piratenschip waterprettafel,Little Tikes,69.99,22%,XXL toys,,,,,,,
https://www.toychamp.nl/product/00399500-00399500,Familiezwembad,Bestway,24.99,17%,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01197297-01197297,Bunch-o-Balloons,,9.99,,Waterpret,,,,,,,
https://www.toychamp.nl/promoties,,,,,,,,,,,,
https://www.toychamp.nl/product/01145120-01145120,Fast-Set zwembadset,Bestway,59.99,14%,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01145137-01145137,Fast-Set zwembadset,Bestway,79.99,11%,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01145113-01145113,Fast-Set zwembadset,Bestway,49.99,17%,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01071061-01071061,Zonneverwarmer zwembadwater 120x120cm,Intex,19.99,,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01145144-01145144,Rechthoekig framezwembad met filterpomp,Bestway,149.99,17%,Zwembaden,,,,,,,
https://www.toychamp.nl/product/01074208-01074208,Super Soaker Rebelle Wave Warrior,NERF,19.99,13%,Waterpret,,,,,,,
https://www.toychamp.nl/product/01264395-01264395,Kurio TAB Advance Blauw,Kurio,119.99,,Tablets,,,,,,,
