urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
http://www.bcc.nl/beeld-en-geluid/televisie/led-televisie/samsung-55-inch-4k-ultra-hd-tv-ue55ku6100(223931),Samsung 55 inch 4K Ultra HD TV UE55KU6100,SAMSUNG,727.00,19%,Beeld en geluid,Televisie,LED televisie,,,,,
http://www.bcc.nl/computer/laptop/laptop/medion-laptop-e6415(233035),Medion laptop E6415,MEDION,499.00,9%,Computer,Laptop,Laptop,,,,,
http://www.bcc.nl/computer/e-readers/e-reader/kobo-e-reader-glo-hd--refurbished-(234206),Kobo e-reader GLO HD (Refurbished),KOBO,99.99,,Computer,E-readers,E-reader,,,,,
http://www.bcc.nl/huishouden/wasmachine/wasmachine/samsung-ecobubble-wasmachine-wf70f5e0q4w-en(70674),Samsung EcoBubble wasmachine WF70F5E0Q4W/EN,SAMSUNG,349.00,8%,Huishouden,Wasmachine,Wasmachine,,,,,
http://www.bcc.nl/keuken/koelvriescombinatie/koelvriescombinatie-met-vriesvak-onder/samsung-koelvriescombinatie-rb33j3205sa-ef(219457),Samsung koelvriescombinatie RB33J3205SA/EF,SAMSUNG,466.65,15%,Keuken,Koelvriescombinatie,Koelvriescombinatie met vriesvak onder,,,,,
http://www.bcc.nl/computer/tablet/android-tablet/lenovo-tablet-tab-10-1gb-16gb(234207),Lenovo tablet TAB 10 1GB 16GB,LENOVO,139.00,,Computer,Tablet,Android tablet,,,,,
http://www.bcc.nl/beeld-en-geluid/mini-en-draadloze-speakers/mini---draadloze-speaker/sony-portable-speaker-srsxb30b.eu8(232835),Sony portable speaker SRSXB30B.EU8,SONY,149.00,,Beeld en geluid,Mini en draadloze speakers,Mini / draadloze speaker,,,,,
http://www.bcc.nl/keuken/koelvriescombinatie/koelvriescombinatie-met-vriesvak-onder/siemens-iq500-koelvriescombinatie-kg36emi41--rvs-(71047),Siemens IQ500 koelvriescombinatie KG36EMI41 (RVS),SIEMENS,749.00,,Keuken,Koelvriescombinatie,Koelvriescombinatie met vriesvak onder,,,,,
http://www.bcc.nl/beeld-en-geluid/televisie/led-televisie/philips-4k-ultra-hd-tv-43pus6262-12(232493),Philips 4K Ultra HD TV 43PUS6262/12,PHILIPS,699.00,,Beeld en geluid,Televisie,LED televisie,,,,,
http://www.bcc.nl/computer/printer-en-scanner/all-in-one-printer/epson-all-in-one-printer-wf3725dwf(233828),Epson all-in-one printer WF3725DWF,EPSON,129.00,,Computer,Printer en scanner,All-in-one Printer,,,,,
http://www.bcc.nl/inbouw-apparatuur/vaatwasser/volledig-geintegreerde-vaatwasser/electrolux-vaatwasser--inbouw--esl5330lo(84307),Electrolux vaatwasser (inbouw) ESL5330LO,ELECTROLUX,549.00,,Inbouw apparatuur,Vaatwasser,Volledig geintegreerde vaatwasser,,,,,
http://www.bcc.nl/computer/printer-en-scanner/all-in-one-printer/epson-all-in-one-printer-xp-245(223635),Epson all-in-one printer XP-245,EPSON,49.99,,Computer,Printer en scanner,All-in-one Printer,,,,,
http://www.bcc.nl/foto-en-video/spiegelreflex-camera/spiegelreflex-camera/nikon-spiegelreflexcamera-d3300---18-55mm-vr-lens(219826),Nikon spiegelreflexcamera D3300 + 18-55mm VR lens,NIKON,378.00,12%,Foto en video,Spiegelreflex camera,Spiegelreflex camera,,,,,
http://www.bcc.nl/beeld-en-geluid/mini-en-draadloze-speakers/mini---draadloze-speaker/salora-portable-speaker-powercube-100(233492),Salora portable speaker POWERCUBE 100,SALORA,129.00,13%,Beeld en geluid,Mini en draadloze speakers,Mini / draadloze speaker,,,,,
http://www.bcc.nl/huishouden/stofzuiger/stofzuiger-zonder-zak/philips-stofzuiger-powerpro-ultimate-fc9920-09(79240),Philips stofzuiger PowerPro Ultimate FC9920/09,PHILIPS,249.00,17%,Huishouden,Stofzuiger,Stofzuiger zonder zak,,,,,
http://www.bcc.nl/huishouden/wasdroger/warmtepompdroger/whirlpool-warmtepompdroger-hdlx80410(219810),Whirlpool warmtepompdroger HDLX80410,WHIRLPOOL,549.00,,Huishouden,Wasdroger,Warmtepompdroger,,,,,
http://www.bcc.nl/beeld-en-geluid/televisie/led-televisie/lg-55-inch-oled-tv-55eg910v(163861),LG 55 inch OLED TV 55EG910V,LG,1447.00,10%,Beeld en geluid,Televisie,LED televisie,,,,,
http://www.bcc.nl/navigatie-en-telefoon/smartwatch/activity-tracker/fitbit-charge-2-zwart--small-(223867),Fitbit Charge 2 Zwart (Small),FITBIT,149.00,,Navigatie en telefoon,Smartwatch,Activity tracker,,,,,
http://www.bcc.nl/navigatie-en-telefoon/mobiele-telefoon/smartphone/motorola-smartphone-moto-g5--grijs-(231139),Motorola smartphone MOTO G5 (Grijs),MOTOROLA,195.00,,Navigatie en telefoon,Mobiele telefoon,Smartphone,,,,,
http://www.bcc.nl/navigatie-en-telefoon/navigatiesysteem/navigatiesysteem/tomtom-navigatiesysteem-via-62(221433),TomTom navigatiesysteem VIA 62,TOMTOM,169.00,,Navigatie en telefoon,Navigatiesysteem,Navigatiesysteem,,,,,
http://www.bcc.nl/keuken/koffiezetapparaat/espresso-koffieapparaat/philips-espresso-apparaat-hd8847-01(219955),Philips espresso apparaat HD8847/01,PHILIPS,399.00,39%,Keuken,Koffiezetapparaat,Espresso koffieapparaat,,,,,
http://www.bcc.nl/beeld-en-geluid/audiosystemen-en-componenten/multiroom-en-draadloos-audio/bose-home-cinema-systeem-soundtouch10-blk-bundel(222719),Bose home cinema systeem SOUNDTOUCH10 BLK BUNDEL,BOSE,349.00,,Beeld en geluid,Audiosystemen en componenten,Multiroom en draadloos audio,,,,,
http://www.bcc.nl/huishouden/wasmachine/wasmachine/siemens-wasmachine-wm14n242nl(209390),Siemens wasmachine WM14N242NL,SIEMENS,599.00,,Huishouden,Wasmachine,Wasmachine,,,,,
