urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.diodrogist.nl/strepsils-citroen-honing-zuigtablet-24-stuks,Strepsils citroen & honing zuigtablet,Strepsils,5.09,,,,,,,,,
https://www.diodrogist.nl/acties/efteling,,,,,,,,,,,,
https://www.diodrogist.nl/aanbiedingen?cat=4183&linkid=20170706,,,,,,,,,,,,
https://www.diodrogist.nl/evian-brumisateur-facial-spray-150-ml,Evian Brumisateur Facial Spray,Evian,4.99,23%,,,,,,,,
https://www.diodrogist.nl/catalogsearch/result/?q=rosti%20mepal%20,,,,,,,,,,,,
https://www.diodrogist.nl/aanbiedingen?cat=4191&linkid=20170715,,,,,,,,,,,,
https://www.diodrogist.nl/aanbiedingen?cat=4126&linkid=20170749,,,,,,,,,,,,
https://www.diodrogist.nl/rimmel-mascara-the-max-volume-flash-7-ml,Rimmel Mascara The Max Volume Flash,Rimmel,11.95,,Schoonheid ,,,,,,,
https://www.diodrogist.nl/aanbiedingen?cat=4118&linkid=20170741,,,,,,,,,,,,
https://www.diodrogist.nl/scholl-velvet-smooth-elektrische-nagelvijl-1-stuks,Scholl Velvet smooth elektrische nagelvijl,Scholl,29.99,29%,Verzorging ,,,,,,,
https://www.diodrogist.nl/aanbiedingen?cat=4185&linkid=20170722,,,,,,,,,,,,
