urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.gamma.nl/assortiment/bouwmaterialen/bouwstoffen/c/bouwmaterialen_bouwstoffen?linkid=20170713,,,,,,,,,,,,
https://www.gamma.nl/assortiment/handson-zwaar-metalen-rek-180x90x45cm/p/B546644?linkid=20170714,Handson zwaar metalen rek 180x90x45cm,Handson,22.5,43%,Meubelen,Kasten,Wandrekken,,,,,
https://www.gamma.nl/zoeken/?text=056087+483807,Kärcher Schoonmaakapparaat accessoires,Kärcher,,,Gereedschap,"Elektrisch gereedschap, Elektrisch gereedschap accessoires","Schoonmaakapparaat accessoires, Schoonmaakapparaten",,,,,
https://www.gamma.nl/assortiment/altrex-huishoudtrap-steddy-6-treden-2-treden-trap/p/B232762?linkid=20170716,Altrex huishoudtrap Steddy 6 treden + 2 treden trap,Altrex,69.95,17%,Gereedschap,Klusbenodigdheden,Ladders & trappen,,,,,+GRATIS Steddy 2-treeds
https://www.gamma.nl/zoeken/resultaten-producten?text=houten%20jaloezie,GAMMA Houten jaloezieën,GAMMA,,30%,Raamdecoratie,Houten jaloezieën,,,,,,
https://www.gamma.nl/assortiment/osb-plaat-18-mm-244x59-cm/p/B545606?linkid=20170718,OSB plaat 18 mm 244x59 cm,Geen merk,7.99,29%,Bouwmaterialen,Gips- & overige platen,Houten platen,,,,,
https://www.gamma.nl/assortiment/black-decker-workmate-wm825/p/B798423?linkid=20170719,Black+Decker workmate WM825,Black & Decker,79.5,50%,Gereedschap,Klusbenodigdheden,Werkbanken & schragen,,,,,
https://www.gamma.nl/zoeken/?text=laminaat+imagine, Laminaat,,3.99,50%,Vloeren,Laminaat,,,,,,
https://www.gamma.nl/zoeken?text=356628+356629+555412,Weber Saint Gobain Cement & betonmortel,"Weber Saint Gobain, Beamix",2.99,40%,Bouwmaterialen,Bouwstoffen,"Cement & betonmortel, Egaliseermiddel",,,,,
https://www.gamma.nl/zoeken/?text=209502+441097+441178+441283,Profile Draad & kabels,Profile,,25%,Elektra,Installatiemateriaal,Draad & kabels,,,,,
https://www.gamma.nl/assortiment/gipsplaat-ak-260x60x0-95-cm/p/B509704?linkid=20170723,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=514694+514695+514696+514697,,,,,,,,,,,,
https://www.gamma.nl/assortiment/makita-accuboormachine-df457dwex2-18v-70-delige-accessoireset/p/B483240?linkid=20170725,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=398467+398468+398469+398470+398471,,,,,,,,,,,,
https://www.gamma.nl/assortiment/gamma-verhuisdoos-extra-sterk-karton-wit-47-5x32x35-cm/p/B527582?linkid=20170727,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=563481+563482,,,,,,,,,,,,
https://www.gamma.nl/assortiment/pelikaan-transportfiets-grijs/zwart/p/B597267?q=fh_location%3d%2f%2fcatalog01%2fnl_NL%2f%24s%3dpelikaan%5cu0020transportfierts%2ffh_item_type>%7bproduct%7d%26fh_view_size%3d20%26fh_start_index%3d0%26fh_lister_pos%3d0%26fh_refview%3dsearch%26date_time%3d20170714T000000%26fh_modification%3d%26fh_sort%3d-%2524search_ranking%26fh_secondid%3db_product_b021597267%26sg%3Db,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=468627+468628+468629+468630+580428,,,,,,,,,,,,
https://www.gamma.nl/zoeken/?text=kledingkast,,,,,,,,,,,,
