urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
http://www.ikea.com/nl/nl/catalog/products/70208539/,IKEA tuinstoel ÄPPLARÖ bruin,IKEA,59.95,,443,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/20202200/,IKEA tuinbank FALSTER grijs,IKEA,79.95,,443,,,,,,,
https://onlinecatalogue.ikea.com/NL/nl/Spring_Brochure/pages/3,,,,,,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/S39227371/,"IKEA 2-zitsbank, buiten KUNGSHOLMEN / KUNGSÖ grijs",IKEA,320.00,,441,,,,,,,
http://www.ikea.com/nl/nl/search/,,,,,,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/S29024736/,"IKEA hoekbank 3+2, buiten ÄPPLARÖ / HÅLLÖ bruin",IKEA,535.00,,441,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/50240031/,IKEA tuinstoel ASKHOLMEN,IKEA,19.95,20%,443,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/50311815/,IKEA parasol SAMSÖ beige,IKEA,24.95,17%,719,,,,,,,
http://www.ikea.com/nl/nl/search/,,,,,,,,,,,,
http://www.ikea.com/nl/nl/search/,,,,,,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/70341294/,SOMMAR 2017,,0.99,,Glazen,,,,,,,
http://www.ikea.com/nl/nl/catalog/categories/departments/eating/,,,,,,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/S69133390/,IKEA houtskoolbarbecue m wagen en kast ÄPPLARÖ / KLASEN bruin,IKEA,399.85,,6356,,,,,,,
http://www.ikea.com/nl/nl/catalog/categories/departments/outdoor/24898/,,,,,,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/S99129990/,"IKEA kast, buiten ÄPPLARÖ / KLASEN bruin",IKEA,129.95,,6356,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/50259501/,IKEA tuinstoel TUNHOLMEN bruin,IKEA,49.95,17%,443,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/90234226/,RUNNEN,,18.59,7%,Vlonders,,,,,,,
http://www.ikea.com/nl/nl/catalog/products/10174641/,IKEA tuinstoel  VÅGÖ blauw,IKEA,19.95,33%,443,,,,,,,
