urls,title,brand,price,price_old,discount,category,category2,category3,category4,category5,category6,category7,persuasion
https://www.kruidvat.nl/treinkaartjes,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2070/kruidvat-solait-zonnemelk-of-spray-voor-4.99,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2581/maybelline-voor-9.00,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2071/l-oreal-paris-mascara-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2575/nivea-dames-gezichtsreiniging,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2576/dr.-van-der-hoog-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2580/diadermine-voor-6.00,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2073/preference-haarkleuring-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2584/poly-palette-voor-4.99,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2601/john-frieda-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2602/studioline-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2605/junior-got2b-of-junior-power,,,,,,,,,,,,,
https://www.kruidvat.nl/search,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2599/gliss-kur-haarverzorging-of-styling,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2571/guhl-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/a/2597/alles-van-garnier-1-1-gratis,,,,,,,,,,,,,
https://www.kruidvat.nl/sarah-jessica-parker-lovely-eau-de-parfum/p/1319984,,,,,,,,,,,,,
https://www.kruidvat.nl/david-beckham-made-of-instinct-eau-de-toilette/p/4154438,David Beckham Made Of Instinct Eau de Toilette50ml,,0.00,,100%,Geuren & Geschenksets,Herengeuren,,,,,,
