urls,title,brand,price,discount,category,category2,category3,category4,category5,category6,category7,persuasion
http://www.prenatal.nl/static/content/prenatal/nl/home.html,,,,,,,,,,,,
http://www.prenatal.nl/static/content/prenatal/nl/home.html,,,,,,,,,,,,
http://www.prenatal.nl/shop/thuis-Kinderstoelen/Safety-1st-Safety1st-timba-kinderstoel-108481.htm?startValue=&rangeValue=&prevVisit=&id=108481,Safety1st timba kinderstoel ,Safety 1st,75.00,24%,thuis,Kinderstoelen,,,,,,
http://www.prenatal.nl/shop/verzorging-Badcapes/Pr%C3%A9natal-Prenatal-badcape-grote-dot-117143.htm?startValue=6&rangeValue=6&prevVisit=true&id=117143,Prenatal badcape grote dot,Prénatal,10.99,,verzorging,Badcapes,,,,,,
http://www.prenatal.nl/shop/verzorging-Badcapes/Pr%C3%A9natal-Prenatal-badcape-sterren-117178.htm?startValue=24&rangeValue=6&prevVisit=true&id=117178,Prenatal badcape sterren,Prénatal,10.99,,verzorging,Badcapes,,,,,,
http://www.prenatal.nl/shop/verzorging-Badcapes/Pr%C3%A9natal-Prenatal-badcape-abc-117146.htm?startValue=12&rangeValue=6&prevVisit=true&id=117146,Prenatal badcape abc,Prénatal,10.99,,verzorging,Badcapes,,,,,,
http://www.prenatal.nl/shop/verzorging.htm?id=cat30082&N=105453,,,,,,,,,,,,
http://www.prenatal.nl/shop/speelgoed-&-cadeau-Speelgoed-diversen/Pr%C3%A9natal-Prenatal-badeend-81013.htm?level=product&id=81013&LS=,Prenatal badeend,Prénatal,1.99,,verzorging,Badspeeltjes,,,,,,
http://www.prenatal.nl/shop/verzorging-Babybadjes-en-standaards/Pr%C3%A9natal-Prenatal-bad-abc-116290.htm?level=product&id=116290&LS=,Prenatal bad abc,Prénatal,17.99,,verzorging,Babybadjes en standaards,,,,,,
http://www.prenatal.nl/shop/verzorging-Babybad-accessoires/Pr%C3%A9natal-Prenatal-badthermometer-abc-116286.htm?level=product&id=116286&LS=,Prenatal badthermometer abc,Prénatal,5.99,,verzorging,Babyverzorgingsaccessoires,,,,,,
http://www.prenatal.nl/shop/verzorging-Babybadjes-en-standaards/B%C3%A9b%C3%A9-Jou-Bebe-Jou-click-thermobad-mint-uil-113933.htm?level=product&id=113933&LS=,Bebe-Jou click thermobad mint uil,Bébé-Jou,47.99,3%,verzorging,Babybadjes en standaards,,,,,,
http://www.prenatal.nl/shop/kinderwagen-&-buggy-Buggy's/Pr%C3%A9natal-Prenatal-buggy-4-standen-melange-113259.htm?level=product&id=113259&LS=,Prenatal buggy 4 standen melange,Prénatal,99.99,,kinderwagen & buggy,Buggy's,,,,,,
http://www.prenatal.nl/shop/kinderwagen-&-buggy-Buggy's/Pr%C3%A9natal-Prenatal-buggy-stitching-115950.htm?level=product&id=115950&LS=,Prenatal buggy stitching,Prénatal,99.99,,kinderwagen & buggy,Buggy's,,,,,,
http://www.prenatal.nl/shop/kinderwagen-&-buggy-Buggy's/Pr%C3%A9natal-Prenatal-buggy-5-standen-blauw-met-sterren-113266.htm?level=product&id=113266&LS=,Prenatal buggy 5 standen blauw met sterren ,Prénatal,79.99,,kinderwagen & buggy,Buggy's,,,,,,
http://www.prenatal.nl/shop/kinderwagen-&-buggy-Buggy's/Pr%C3%A9natal-Prenatal-buggy-5-standen-106746.htm?level=product&id=106746&LS=,Prenatal buggy 5 standen,Prénatal,79.99,,kinderwagen & buggy,Buggy's,,,,,,
http://www.prenatal.nl/shop/kinderwagen-%26-buggy-Buggy%27s.htm?id=cat30131&N=103024,"Disney by Easywalker buggy Mickey Orn..., ",,229.99,,,,,,,,,
http://www.prenatal.nl/shop/kinderwagen-%26-buggy-Buggy%27s/Pr%C3%A9natal-Prenatal-buggy-5-standen-106746.htm?startValue=&rangeValue=&prevVisit=&id=106746,Prenatal buggy 5 standen,Prénatal,79.99,,kinderwagen & buggy,Buggy's,,,,,,
http://www.prenatal.nl/static/content/prenatal/nl/home.html,,,,,,,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/Noma-Noma-metaal-traphek-wit-116800.htm?level=product&id=116800&LS=,Noma metaal traphek wit,Noma,34.99,,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/Noma-Noma-houten-traphek-wit-116801.htm?level=product&id=116801&LS=,Noma houten traphek wit,Noma,39.99,,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/Noma-Noma-houten-traphek-wit-116801.htm?level=product&id=116801&LS=,Noma houten traphek wit,Noma,39.99,,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes.htm?id=cat5930122&N=105425,"Easylock light traphek verlengstuk 18cm, ",,15.99,,,,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/Geuther-Geuther-traphek-Easylock-light-74-83cm-100845.htm?level=product&id=100845&LS=,Geuther traphek Easylock light 74-83cm,Geuther,59.99,7%,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/A3-SafetyDoor-traphek-grijs-116644.htm?level=product&id=116644&LS=,SafetyDoor traphek grijs,A3,64.99,,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/shop/thuis-Traphekjes/Lascal-Lascal-traphek-Kiddyguard-Avant-93163.htm?level=product&id=93163&LS=,Lascal traphek Kiddyguard Avant,Lascal,125.00,16%,thuis,Traphekjes,,,,,,
http://www.prenatal.nl/static/content/prenatal/nl/home.html,,,,,,,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/ABZ-ABZ-basismatras-ledikant-97011.htm?level=product&id=97011&LS=,ABZ basismatras ledikant,ABZ,49.99,,slapen,Matrassen,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/ABZ-ABZ-pocketvering-matras-42758.htm?level=product&id=42758&LS=,ABZ pocketvering matras,ABZ,129.00,18%,slapen,Matrassen,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/ABZ-ABZ-binnenvering-ledikantmatras-37854.htm?level=product&id=37854&LS=,ABZ binnenvering ledikantmatras,ABZ,89.99,10%,slapen,Matrassen,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen.htm?id=cat5930109&N=104857,"Aerosleep matrasdek ledikant, ",,74.99,,,,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/Aerosleep-Aerosleep-wiegmatras-Evolution-116710.htm?level=product&id=116710&LS=,Aerosleep wiegmatras Evolution,Aerosleep,79.99,,slapen,Matrassen,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/Aerosleep-Aerosleep-Essential-matras-106243.htm?level=product&id=106243&LS=,Aerosleep Essential matras,Aerosleep,119.00,7%,slapen,Matrassen,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen/Aerosleep-Aerosleep-Evolution-matras-106242.htm?level=product&id=106242&LS=,Aerosleep Evolution matras,Aerosleep,159.00,,slapen,Matrassen,,,,,,
http://www.prenatal.nl/static/content/prenatal/nl/service/winkels.html,,,,,,,,,,,,
http://www.prenatal.nl/shop/slapen-Matrassen.htm?N=104857+4294966603&id=cat5930109,"Aerosleep matrasdek ledikant, ",,74.99,,,,,,,,,
http://www.prenatal.nl/shop/slapen-Veilig-slapen/Aerosleep-Aerosleep-matrasdek-wieg-34923.htm?level=product&id=34923&LS=,Aerosleep matrasdek wieg,Aerosleep,39.99,,slapen,Veilig slapen,,,,,,
http://www.prenatal.nl/shop/slapen-Veilig-slapen/Aerosleep-Aerosleep-matrasdek-ledikant-1112.htm?level=product&id=1112&LS=,Aerosleep matrasdek ledikant,Aerosleep,74.99,,slapen,Veilig slapen,,,,,,
http://www.prenatal.nl/shop/slapen-Lakens/Pr%C3%A9natal-Prenatal-wieglaken-sugar-rush-117111.htm?startValue=6&rangeValue=6&prevVisit=true&id=117111,Prenatal wieglaken sugar rush,Prénatal,10.99,,slapen,Lakens,,,,,,
http://www.prenatal.nl/shop/slapen-Lakens/Pr%C3%A9natal-Prenatal-wieglaken-graphic-retro-117112.htm?startValue=18&rangeValue=6&prevVisit=true&id=117112,Prenatal wieglaken graphic retro,Prénatal,12.99,,slapen,Lakens,,,,,,
http://www.prenatal.nl/shop/slapen-Lakens/Pr%C3%A9natal-Prenatal-ledikantlaken-dreamer-117129.htm?startValue=42&rangeValue=6&prevVisit=true&id=117129,Prenatal ledikantlaken dreamer,Prénatal,13.99,,slapen,Lakens,,,,,,
http://www.prenatal.nl/shop/slapen-Lakens/Pr%C3%A9natal-Prenatal-wieglaken-planeet-117134.htm?startValue=24&rangeValue=6&prevVisit=true&id=117134,Prenatal wieglaken planeet,Prénatal,12.99,,slapen,Lakens,,,,,,
http://www.prenatal.nl/shop/slapen-Dekens/Pr%C3%A9natal-Prenatal-wiegdeken-114980.htm?level=product&id=114980,Prenatal wiegdeken,Prénatal,14.00,22%,slapen,Dekens,,,,,,
